"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","num-replicates","best-fitness-so-far"
"1","10","20","60","5","7","7","true","10","417.8"
"1","20","40","57","8","9","4","false","10","107.5"
"1","40","36","59","5","6","3","false","10","72.3"
"1","80","20","52","8","7","3","true","10","37.3"
"2","10","20","54","10","4","8","false","10","470.2"
"2","20","24","60","8","4","4","false","10","135.7"
"2","50","32","50","10","4","3","true","10","68.3"
"2","190","24","59","5","7","3","true","10","46.2"
"2","340","20","54","6","7","3","true","10","41.7"
"3","10","20","53","7","5","6","false","10","237.8"
"3","20","24","59","10","5","5","false","10","206.1"
"3","30","20","52","7","4","3","true","10","44.7"
"3","470","28","56","9","7","3","false","10","42.4"
"4","10","32","50","8","8","3","false","10","46.7"
"4","140","20","54","5","7","3","true","10","42"
"5","10","40","52","6","4","3","true","10","80.1"
"5","160","32","54","5","7","3","false","10","43"
"5","220","28","52","5","7","3","true","10","38.8"
"6","10","28","51","5","7","10","false","10","668.9"
"6","30","32","59","5","4","7","true","10","561.7"
"6","40","32","54","10","4","3","false","10","70.8"
"6","70","28","59","10","5","3","true","10","70.6"
"6","240","20","52","7","7","3","true","10","31.2"
"7","10","28","59","5","7","8","true","10","618.1"
"7","20","20","53","8","7","5","false","10","164.3"
"7","110","20","57","8","6","4","false","10","83.6"
"7","160","32","59","5","7","3","true","10","60.6"
"7","220","20","59","5","6","3","true","10","47.4"
"7","280","20","50","9","6","3","false","10","36.1"
"8","10","20","57","5","4","6","true","10","323.9"
"8","20","40","50","6","7","3","false","10","42.1"
"9","10","32","59","8","5","8","true","10","756.7"
"9","20","32","57","6","6","9","false","10","720.7"
"9","30","32","51","10","5","4","false","10","94.8"
"9","150","28","52","7","8","3","false","10","42"
"9","260","24","50","8","8","3","false","10","34.8"
"10","10","36","58","5","7","8","false","10","565.8"
"10","30","36","54","10","4","3","false","10","76.1"
"10","60","40","60","5","9","3","true","10","67.6"
"10","140","24","55","9","9","3","false","10","42"
"10","430","28","50","5","8","3","true","10","39.8"
"10","490","20","54","7","8","3","true","10","34.2"
"11","10","20","57","6","6","10","false","10","719.2"
"11","20","28","51","8","4","7","true","10","502.5"
"11","50","24","55","9","9","6","true","10","333.8"
"11","70","20","54","10","9","4","true","10","110.9"
"11","100","24","56","10","5","3","false","10","51.3"
"12","10","32","57","9","4","7","false","10","510.4"
"12","60","20","55","5","6","4","true","10","101.2"
"12","80","36","52","9","9","3","true","10","54"
"12","230","40","52","5","9","3","true","10","46"
"12","310","32","52","8","6","3","false","10","42"
"13","10","36","53","5","4","9","false","10","693.6"
"13","40","20","52","8","4","8","false","10","434.8"
"13","50","24","50","7","7","7","true","10","371.4"
"13","80","36","57","7","8","6","false","10","316.1"
"13","90","20","53","10","5","6","false","10","245.2"
"13","100","32","54","8","6","5","false","10","189.7"
"13","150","20","53","7","8","5","false","10","144.2"
"13","160","24","52","8","4","4","true","10","108.6"
"13","210","28","50","7","4","4","false","10","88.7"
"13","300","28","50","7","9","3","true","10","35.9"
"14","10","20","50","8","4","7","true","10","386.9"
"14","30","40","57","10","4","5","true","10","322.9"
"14","50","20","56","8","5","4","false","10","108.8"
"14","80","32","50","8","7","4","true","10","97.7"
"14","100","20","60","5","5","3","true","10","63.9"
"14","230","32","50","7","8","3","true","10","39.5"
"15","10","36","52","7","4","3","false","10","61.2"
"15","20","28","51","8","6","3","true","10","51.7"
"15","70","20","55","9","7","3","true","10","47.2"
"15","170","28","55","10","8","3","false","10","44.5"
"15","230","20","54","9","9","3","true","10","39.5"
"15","320","20","53","5","7","3","true","10","39.3"
"15","500","24","52","8","8","3","false","10","36.7"
"16","10","20","58","9","9","6","true","10","316.7"
"16","40","32","57","10","8","5","true","10","251.8"
"16","50","40","51","8","5","4","true","10","179.8"
"16","60","36","50","8","4","4","false","10","125.4"
"16","130","32","55","6","4","3","true","10","77.6"
"16","210","20","55","5","7","3","false","10","38"
"16","240","20","50","5","7","3","false","10","28"
"17","10","36","57","5","4","9","true","10","835.7"
"17","20","36","58","5","4","6","true","10","386.3"
"17","40","20","55","5","8","5","false","10","154.1"
"17","60","20","58","8","6","3","true","10","47.9"
"17","110","36","51","7","7","3","false","10","43.6"
"17","180","20","50","8","4","3","false","10","42.5"
"18","10","32","51","5","9","5","false","10","138.7"
"18","20","24","54","7","7","4","false","10","93.9"
"18","200","32","58","5","5","3","false","10","69.9"
"18","330","28","52","5","5","3","false","10","43"
"18","490","28","54","7","9","3","false","10","33"
"19","10","36","60","8","4","4","false","10","162.9"
"19","20","32","52","9","7","4","false","10","101.1"
"19","30","32","59","10","9","3","false","10","54.7"
"19","270","24","54","8","9","3","false","10","38.3"
"19","490","20","52","8","7","3","true","10","38.2"
"20","10","28","52","8","7","3","false","10","30.8"
"20","170","20","54","8","7","3","false","10","29.5"
